Parkhaus;Zeit;RMSE;Wahrer Mittelwert
RoemischesTheater;0,1 Uhr;8,46;14,95
RoemischesTheater;2,3 Uhr;5,15;12,18
RoemischesTheater;4,5 Uhr;2,49;10,35
RoemischesTheater;6,7 Uhr;2,49;13,73
RoemischesTheater;8,9 Uhr;5,76;29,25
RoemischesTheater;10,11 Uhr;7,46;44,65
RoemischesTheater;12,13 Uhr;7,81;49,14
RoemischesTheater;14,15 Uhr;7,62;43,79
RoemischesTheater;16,17 Uhr;7,03;36,52
RoemischesTheater;18,19 Uhr;9,19;36,97
RoemischesTheater;20,21 Uhr;10,50;38,72
RoemischesTheater;22,23 Uhr;7,42;23,41
